roc_auc,avg_precision,accuracy,balanced_accuracy,f1,confusion_matrix,dsid,n,pos
0.5682946541608201,0.08477424201076285,0.8089840470193115,0.5226870702393899,0.11878631375080698,"[[5689, 978], [387, 92]]",ds003061,7146,479
0.542224880382775,0.2498256593708268,0.612453531598513,0.5292962519936204,0.3038397328881469,"[[568, 268], [149, 91]]",ds002578,1076,240
